Data;15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15863 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amapá - Pessoas físicas - %;15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15865 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Bahia - Pessoas físicas - %;15866 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Ceará - Pessoas físicas - %;15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15868 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Espírito Santo - Pessoas físicas - %;15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %
01/2004;4,98 ;8,33 ;4,82 ;9,18 ;9,48 ;11,39 ;6,08 ;6,31 ;4,22
02/2004;5,31 ;7,81 ;4,83 ;9,16 ;9,29 ;11,37 ;5,93 ;6,37 ;4,19
03/2004;5,03 ;9,48 ;4,62 ;8,85 ;9,69 ;11,03 ;5,59 ;6,22 ;4,04
04/2004;5,20 ;9,03 ;4,97 ;9,02 ;9,55 ;10,90 ;5,55 ;6,37 ;3,91
05/2004;5,00 ;8,74 ;5,03 ;8,89 ;9,11 ;10,75 ;5,51 ;5,95 ;3,73
06/2004;4,63 ;9,08 ;4,93 ;9,30 ;8,46 ;10,72 ;5,33 ;5,69 ;3,51
07/2004;4,56 ;8,63 ;5,10 ;8,74 ;7,26 ;10,35 ;5,27 ;5,64 ;3,55
08/2004;4,32 ;8,68 ;4,78 ;8,27 ;7,92 ;9,97 ;5,15 ;5,64 ;3,47
09/2004;4,44 ;8,84 ;4,85 ;8,19 ;8,52 ;10,74 ;5,08 ;5,69 ;3,33
10/2004;4,70 ;8,65 ;4,46 ;8,18 ;8,38 ;10,60 ;5,23 ;5,65 ;3,49
11/2004;4,84 ;8,40 ;4,52 ;7,87 ;8,18 ;10,17 ;5,12 ;5,64 ;3,37
12/2004;4,55 ;7,58 ;4,32 ;6,95 ;7,86 ;9,73 ;4,93 ;5,04 ;3,17
01/2005;4,56 ;7,47 ;4,40 ;6,62 ;7,81 ;9,54 ;4,87 ;5,03 ;3,26
02/2005;4,47 ;7,37 ;4,51 ;6,22 ;7,83 ;9,26 ;4,86 ;4,96 ;3,28
03/2005;4,22 ;7,44 ;4,23 ;6,31 ;7,85 ;9,20 ;4,94 ;4,92 ;3,27
04/2005;3,93 ;8,19 ;4,03 ;6,29 ;9,66 ;9,77 ;5,02 ;4,93 ;3,36
05/2005;4,22 ;7,48 ;4,10 ;6,54 ;8,53 ;9,10 ;5,23 ;4,87 ;3,54
06/2005;4,01 ;7,26 ;4,00 ;6,44 ;8,10 ;8,53 ;5,10 ;4,61 ;3,41
07/2005;3,89 ;7,24 ;4,10 ;6,26 ;7,97 ;8,57 ;4,99 ;4,59 ;3,54
08/2005;4,17 ;7,34 ;4,52 ;6,42 ;7,88 ;8,57 ;5,12 ;4,63 ;4,37
09/2005;4,53 ;7,43 ;4,49 ;6,42 ;8,00 ;8,34 ;5,16 ;4,61 ;4,72
10/2005;4,76 ;7,71 ;4,73 ;6,82 ;8,30 ;8,37 ;5,38 ;4,73 ;6,31
11/2005;4,86 ;7,77 ;4,83 ;7,03 ;7,81 ;7,99 ;5,42 ;4,69 ;7,60
12/2005;4,60 ;7,61 ;4,99 ;6,73 ;7,70 ;7,70 ;5,33 ;4,43 ;7,36
01/2006;4,70 ;7,75 ;5,13 ;6,81 ;8,15 ;7,77 ;5,23 ;4,51 ;7,53
02/2006;4,71 ;7,65 ;5,14 ;6,77 ;8,35 ;7,57 ;5,20 ;4,69 ;7,60
03/2006;5,05 ;7,70 ;5,90 ;6,80 ;8,63 ;7,75 ;5,23 ;4,77 ;7,83
04/2006;5,13 ;7,69 ;5,89 ;7,03 ;8,71 ;7,87 ;5,25 ;4,81 ;7,90
05/2006;5,52 ;7,60 ;5,94 ;7,44 ;8,79 ;8,11 ;5,12 ;4,82 ;7,32
06/2006;5,49 ;7,30 ;5,96 ;7,15 ;8,62 ;7,76 ;4,90 ;4,60 ;6,91
07/2006;5,56 ;7,33 ;6,04 ;7,15 ;8,23 ;7,83 ;4,82 ;4,51 ;6,83
08/2006;5,28 ;7,13 ;5,74 ;6,94 ;8,26 ;7,62 ;4,78 ;4,32 ;7,50
09/2006;4,60 ;7,37 ;5,35 ;6,75 ;8,31 ;7,35 ;4,85 ;4,12 ;7,75
10/2006;4,38 ;7,48 ;5,04 ;6,78 ;8,53 ;7,28 ;4,86 ;4,22 ;7,86
11/2006;4,13 ;7,68 ;4,85 ;6,65 ;7,78 ;7,10 ;4,58 ;4,05 ;5,63
12/2006;3,46 ;6,77 ;4,29 ;6,23 ;7,48 ;6,76 ;4,36 ;3,93 ;4,32
01/2007;3,66 ;6,75 ;4,20 ;6,17 ;7,60 ;6,60 ;4,25 ;3,89 ;4,31
02/2007;3,67 ;6,84 ;4,10 ;6,05 ;7,44 ;6,52 ;4,15 ;3,94 ;4,25
03/2007;3,68 ;6,93 ;4,00 ;5,93 ;7,27 ;6,45 ;4,05 ;3,98 ;4,19
04/2007;3,62 ;7,11 ;4,02 ;6,14 ;7,32 ;6,61 ;4,05 ;4,05 ;4,31
05/2007;3,71 ;7,11 ;4,06 ;6,57 ;7,35 ;6,55 ;4,23 ;4,12 ;4,42
06/2007;3,44 ;6,80 ;3,89 ;6,31 ;6,87 ;6,23 ;4,05 ;3,91 ;3,82
07/2007;3,33 ;6,73 ;3,95 ;6,42 ;7,50 ;6,36 ;4,12 ;3,89 ;3,90
08/2007;3,40 ;6,66 ;3,86 ;6,36 ;7,27 ;6,28 ;4,13 ;3,62 ;3,96
09/2007;3,33 ;6,54 ;4,00 ;6,26 ;7,05 ;6,14 ;4,14 ;3,63 ;3,82
